houseguid,formalname_region,formalname_area,formalname_city,formalname_street,house_number,building,block,letter,floor_count_max,floor_count_min,living_quarters_count,area_residential
850e86f6-147f-451c-bd61-83800189623b,Свердловская,Богдановичский,Богданович,Партизанская,24,,,,5.0,5.0,65.0,"3191,30"
965ef483-1403-499a-887d-cd7b6cbdec92,Свердловская,Богдановичский,Богданович,Партизанская,26,,,,5.0,5.0,69.0,"3209,90"
e492c263-304b-4eda-ade5-2405e213f01e,Свердловская,Богдановичский,Богданович,Пархоменко,6,,,,1.0,,,"89,70"
0939a536-07a4-4767-bf51-d8962683f61f,Свердловская,Богдановичский,Богданович,Партизанская,28,,,,5.0,5.0,89.0,"3925,00"
5a2d4b18-9cd3-433d-8d5b-c078213045b7,Свердловская,Богдановичский,Богданович,Партизанская,22,,,,5.0,5.0,56.0,"2605,90"
0257fe52-710d-4352-8336-6e509c82fcbf,Свердловская,Богдановичский,Богданович,Партизанская,30,,,,5.0,5.0,64.0,"3297,34"
6339a2d9-301a-46bc-90be-ac7258bfe8d2,Свердловская,Богдановичский,Богданович,Пархоменко,2,,,,,,,"175,40"
1c9af6c6-6e3a-404c-8f17-4f20cc270bc1,Свердловская,Богдановичский,Богданович,Пархоменко,4,,,,1.0,,,"146,40"
32ddf57e-5f79-4bf0-9b81-8d0aea28ad97,Свердловская,Богдановичский,Богданович,Первомайская,3,,,,1.0,1.0,1.0,"20,10"
58690e19-7361-4b9d-a806-3798d5fc45de,Свердловская,Богдановичский,Богданович,Пархоменко,10,,,,1.0,1.0,1.0,"39,10"
c7fd7276-9c64-43d4-acd6-1eda17374456,Свердловская,Богдановичский,Богданович,Первомайская,13,,,,4.0,4.0,48.0,"1925,90"
afe43d02-3169-4852-9834-dd4eda14039b,Свердловская,Богдановичский,Богданович,Первомайская,23,,,,5.0,5.0,60.0,"2599,50"
da477912-618c-4d24-95b3-a654490e11a6,Свердловская,Богдановичский,Богданович,Первомайская,8,,,,,,,
0b7e3662-7884-6427-10dd-14ec6764cbfa,Свердловская,Богдановичский,Богданович,Первомайская,10,,,,1.0,,,"28,60"
89ca3ccc-393b-47ec-9aac-cac0ac65b12e,Свердловская,Богдановичский,Богданович,Первомайская,11,,,,4.0,4.0,64.0,"2836,60"
4c65db8b-2cf1-4fcf-84ee-a667958892cf,Свердловская,Богдановичский,Богданович,Первомайская,17,,,,3.0,3.0,32.0,"1369,50"
31ad89db-04df-44a3-8dba-fb7bbbc6f7f7,Свердловская,Богдановичский,Богданович,Первомайская,18,,,,2.0,2.0,10.0,"360,90"
45bcdabd-7f35-4c4c-bcab-b391e4f774b1,Свердловская,Богдановичский,Богданович,Рокицанская,6,,,,2.0,2.0,8.0,"319,40"
fdf3af07-670d-43ff-946c-439411a5df3f,Свердловская,Богдановичский,Богданович,Рокицанская,1,,,,3.0,3.0,23.0,"888,10"
6343906c-aaf6-43e7-98d4-16520d68fcd1,Свердловская,Богдановичский,Богданович,Первомайская,25,,,,5.0,5.0,56.0,"2459,80"
e7d882a0-d145-4723-a31d-2456f11c58ec,Свердловская,Богдановичский,Богданович,Первомайская,19,,,,4.0,4.0,30.0,"1194,90"
72c13c2d-5e01-4233-a6f0-a5dd48d82a43,Свердловская,Богдановичский,Богданович,Первомайская,21,,,,4.0,4.0,23.0,"968,00"
ffae9697-f231-418c-b349-7b9f997438a1,Свердловская,Богдановичский,Богданович,Первомайская,20,,,,2.0,2.0,10.0,"366,10"
9dfab7b1-325e-4a68-aab6-f2f28308c3f2,Свердловская,Богдановичский,Богданович,Первомайская,4,а,,,2.0,2.0,16.0,"690,30"
af06fe0e-7e9b-42ac-9179-075c73ebb4e3,Свердловская,Богдановичский,Богданович,Первомайская,25,а,,,5.0,5.0,57.0,"2472,70"
3877ab1c-3ea6-4ea8-b621-25eaf0f40b6b,Свердловская,Богдановичский,Богданович,Перепечина,5,,,,1.0,1.0,1.0,"62,50"
7088f572-648f-4b5d-8dd6-3da721e5c5d7,Свердловская,Богдановичский,Богданович,Пушкина,58,,,,1.0,1.0,2.0,"117,40"
be74b695-e426-4d60-9767-3047b6ff2894,Свердловская,Богдановичский,Богданович,Степана Разина,9,,,,5.0,5.0,1.0,"3928,00"
ae068580-9785-4709-9072-1faf1cd4da67,Свердловская,Богдановичский,Богданович,Рокицанская,3,,,,2.0,2.0,16.0,"722,80"
9c4e246b-d174-4853-93e6-41ab54b2c9b0,Свердловская,Богдановичский,Богданович,Степана Разина,39,,1,,5.0,5.0,152.0,"2571,30"
2110c6e8-5f5f-4f7d-a060-5f1779b0a19e,Свердловская,Богдановичский,Богданович,Степана Разина,39,,2,,5.0,5.0,156.0,"2652,70"
1368b5b3-465a-4a8e-8d35-10a9e0d66e34,Свердловская,Богдановичский,Богданович,Спортивная,29,,,,1.0,,,"117,40"
fca00656-82de-47ab-831d-190da6db8ff9,Свердловская,Богдановичский,Богданович,Юбилейная,9,,,,1.0,1.0,1.0,"44,90"
2f909f8b-8775-4ba9-89eb-c79773da74b6,Свердловская,Богдановичский,Богданович,Первомайская,27а,,,,5.0,5.0,59.0,"2827,80"
fde3c1da-2a8c-4844-baa3-334dc6418673,Свердловская,Богдановичский,Богданович,Первомайская,29,,,,5.0,5.0,90.0,"3874,70"
edcd10dc-fe78-6abf-64b8-8f345e1898e5,Свердловская,Богдановичский,Богданович,Первомайская,30,,,,,,,
a410e9f4-73ab-51ef-ba39-d6d643afedd6,Свердловская,Богдановичский,Богданович,Первомайская,32,,,,,,,
87a76eee-efb9-d65c-cdf5-8cbfcfda33b4,Свердловская,Богдановичский,Богданович,Первомайская,64,,,,,,,
93330efc-2e7a-401f-8e6f-0d995f4ff687,Свердловская,Богдановичский,Богданович,Пионерская,3,,,,1.0,,,"123,40"
5be9725b-d9cd-4848-8be0-e5681baf7e16,Свердловская,Богдановичский,Богданович,Пионерская,5,,,,1.0,,,"107,00"
2c1dd499-5f6d-4285-8ae0-aa81ac9f28cf,Свердловская,Богдановичский,Богданович,Пионерская,6,,,,1.0,,,"84,90"
8b5711be-50c5-4d02-81ed-da2a53194553,Свердловская,Богдановичский,Богданович,Пионерская,7,,,,1.0,,,"79,30"
6801b958-4161-4283-833a-254acf559854,Свердловская,Богдановичский,Богданович,Пионерская,9,,,,1.0,1.0,1.0,"39,80"
